file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,214,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,19
style.css,215,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,9
style.css,216,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,217,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,218,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,14
style.css,219,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,5
style.css,220,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,17
style.css,221,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,222,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,223,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,18
style.css,224,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,17
style.css,225,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,12
style.css,226,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,227,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,228,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,229,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,5
style.css,230,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,15
style.css,231,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,232,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,0
style.css,233,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,29
style.css,234,css,9d8270a7,Marija,2025-02-08,22:26:03,-08:00,2025-02-08T22:26:03-08:00,0,10
